ano,dia,mes,casamentos
1990,01,Janeiro,40
1990,01,Fevereiro,41
1990,01,Março,68
1990,01,Abril,68
1990,01,Maio,19
1990,01,Junho,62
1990,01,Julho,201
1990,01,Agosto,54
1990,01,Setembro,1636
1990,01,Outubro,52
1990,01,Novembro,15
1990,01,Dezembro,595
1990,02,Janeiro,41
1990,02,Fevereiro,62
1990,02,Março,81
1990,02,Abril,58
1990,02,Maio,57
1990,02,Junho,690
1990,02,Julho,34
1990,02,Agosto,78
1990,02,Setembro,495
1990,02,Outubro,35
1990,02,Novembro,31
1990,02,Dezembro,98
1990,03,Janeiro,65
1990,03,Fevereiro,501
1990,03,Março,585
1990,03,Abril,42
1990,03,Maio,62
1990,03,Junho,162
1990,03,Julho,35
1990,03,Agosto,92
1990,03,Setembro,67
1990,03,Outubro,57
1990,03,Novembro,426
1990,03,Dezembro,52
1990,04,Janeiro,69
1990,04,Fevereiro,107
1990,04,Março,147
1990,04,Abril,46
1990,04,Maio,63
1990,04,Junho,54
1990,04,Julho,57
1990,04,Agosto,1968
1990,04,Setembro,58
1990,04,Outubro,108
1990,04,Novembro,96
1990,04,Dezembro,44
1990,05,Janeiro,74
1990,05,Fevereiro,51
1990,05,Março,76
1990,05,Abril,66
1990,05,Maio,704
1990,05,Junho,33
1990,05,Julho,53
1990,05,Agosto,607
1990,05,Setembro,78
1990,05,Outubro,100
1990,05,Novembro,62
1990,05,Dezembro,60
1990,06,Janeiro,974
1990,06,Fevereiro,33
1990,06,Março,55
1990,06,Abril,91
1990,06,Maio,199
1990,06,Junho,55
1990,06,Julho,67
1990,06,Agosto,89
1990,06,Setembro,84
1990,06,Outubro,1014
1990,06,Novembro,39
1990,06,Dezembro,61
1990,07,Janeiro,223
1990,07,Fevereiro,51
1990,07,Março,58
1990,07,Abril,937
1990,07,Maio,59
1990,07,Junho,49
1990,07,Julho,1014
1990,07,Agosto,58
1990,07,Setembro,105
1990,07,Outubro,210
1990,07,Novembro,41
1990,07,Dezembro,101
1990,08,Janeiro,44
1990,08,Fevereiro,58
1990,08,Março,56
